5,10008,"ARomualdez","Alice Romualdez","PASSWORD_RESET","I forgot my password and need assistance.","RESOLVED","2026-03-07 23:05:51","2026-03-08 00:43:00","Eduard Hernandez"
6,10034,"BSantos","Beatriz Santos","PASSWORD_RESET","HELP ME!!!!!!!","RESOLVED","2026-03-07 23:08:23","2026-03-07 23:08:58","Eduard Hernandez"
7,10034,"BSantos","Beatriz Santos","PASSWORD_RESET","I forgot my password and need assistance.","RESOLVED","2026-03-07 23:19:40","2026-03-08 00:42:56","Eduard Hernandez"
8,10034,"BSantos","Beatriz Santos","LOGIN_ISSUE","Please describe the bug, error, or issue you encountered.","RESOLVED","2026-03-07 23:20:19","2026-03-08 01:19:57","Eduard Hernandez"
9,10034,"BSantos","Beatriz Santos","PASSWORD_RESET","I forgot my password and need assistance.","RESOLVED","2026-03-07 23:20:32","2026-03-08 00:42:54","Eduard Hernandez"
10,10034,"BSantos","Beatriz Santos","ACCOUNT_LOCKED","My account is locked and I cannot log in.","RESOLVED","2026-03-07 23:21:08","2026-03-10 13:56:12","Beatriz Santos"
11,10008,"ARomualdez","Alice Romualdez","ACCOUNT_LOCKED","I've been locked out and I need help with my access.","RESOLVED","2026-03-08 00:02:03","2026-03-10 20:46:29","Manuel III Garcia"
12,10034,"BSantos","Beatriz Santos","ACCOUNT_LOCKED","I've been locked out and I need help with my access.","RESOLVED","2026-03-08 00:36:09","2026-03-08 00:36:46","Eduard Hernandez"
13,10034,"BSantos","Beatriz Santos","PASSWORD_RESET","I need to reset my password.","RESOLVED","2026-03-08 00:37:16","2026-03-08 00:37:46","Eduard Hernandez"
14,10034,"BSantos","Beatriz Santos","TECHNICAL_SUPPORT","qeqeqeqeq","RESOLVED","2026-03-08 00:42:13","2026-03-08 01:18:04","Eduard Hernandez"
15,10034,"BSantos","Beatriz Santos","ACCOUNT_LOCKED","I've been locked out and I need help with my access.","RESOLVED","2026-03-08 01:21:02","2026-03-11 07:52:57","Beatriz Santos"
16,10034,"BSantos","Beatriz Santos","PASSWORD_RESET","I need to reset my password.","RESOLVED","2026-03-08 01:21:58","2026-03-08 01:42:13","Eduard Hernandez"
17,10001,"Manuel III","Manuel III Garcia","Account Locked","asd","RESOLVED","2026-03-10 14:04:12","2026-03-10 20:46:39","Manuel III Garcia"
18,10034,"Beatriz","Beatriz Santos","Technical Support","asd","OPEN","2026-03-10 14:05:28","N/A","N/A"
